candidate,c2_feature_groups,n_feature_groups,recency_half_life_days,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
forward_1_event,event,1,365.0,DynamicRidge,0.42965262733727005,19.799428884613558,32.24366683455198,0.21433587498584036,1.0,0.3875193917200159,59.708049166998535,826
forward_1_event,event,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.708049166998535,826
forward_1_event,event,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.708049166998535,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,NeuralNet,0.2774830116961354,12.787086141692143,20.991081823144885,-0.10010166987051175,1.0,0.2762659293697675,68.53211987500254,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,XGBoost,0.2664464713733886,12.278495756462492,20.61021873752767,-0.08143797689837766,1.0,0.2592227689531003,68.53211987500254,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,LightGBM,0.2676680471126155,12.334788911530305,19.613640637454044,-0.04451878165174164,1.0,0.2628342687714267,68.53211987500254,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,DynamicRidge,0.39374583404052327,18.144757284536535,32.717914013451754,0.07371726676137604,1.0,0.38082931788182933,68.53211987500254,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,68.53211987500254,826
all_groups,"price,campaign,lifecycle,market,event",5,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,68.53211987500254,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,NeuralNet,0.27599237798414916,12.718394146588127,20.92933890617402,-0.09528957481668296,1.0,0.2759359734397706,68.22627604199806,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,XGBoost,0.2816878928753812,12.98085720366071,21.29580812790496,-0.03269571491797903,1.0,0.2737582515545413,68.22627604199806,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,LightGBM,0.2731925347515408,12.58937062049997,20.082982370745945,-0.018080410140546767,1.0,0.2630754551529247,68.22627604199806,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,DynamicRidge,0.38912487506516447,17.9318123546327,33.11780238779056,0.08841278503530735,1.0,0.3730852178916244,68.22627604199806,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,68.22627604199806,826
sensitivity_half_none,"price,campaign,lifecycle,market,event",5,,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,68.22627604199806,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,NeuralNet,0.28500538780439355,13.133735367886352,20.856719148222798,-0.1071014418425704,1.0,0.29065374723684734,69.18681062499672,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,XGBoost,0.27211341992981136,12.53964240795865,21.02403485651841,-0.08286269899364722,1.0,0.27312249694933083,69.18681062499672,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,LightGBM,0.26393106217443524,12.162579636365578,19.845262292262564,-0.0428309303616771,1.0,0.2588824425363091,69.18681062499672,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,DynamicRidge,0.3645163792849828,16.797793542327035,27.02075043223033,-0.05809529865279656,1.0,0.373689238397071,69.18681062499672,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,69.18681062499672,826
sensitivity_half_90p0,"price,campaign,lifecycle,market,event",5,90.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,69.18681062499672,826
