candidate,stage,training_window_days,recency_half_life_days,baseline_variant,enable_trend_features,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
baseline_weekday_median,baseline,,365.0,weekday_median,False,LightGBM,0.30303237388564513,13.964462346403067,21.491386300553454,0.03350753551902145,1.0,0.2864741804341982,57.14752700000099,826
baseline_weekday_median,baseline,,365.0,weekday_median,False,DynamicRidge,0.4542179437046708,20.93145788548031,38.65808875247879,0.23315152975502024,1.0,0.4115338727551267,57.14752700000099,826
baseline_weekday_median,baseline,,365.0,weekday_median,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.14752700000099,826
baseline_weekday_median,baseline,,365.0,weekday_median,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.14752700000099,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,NeuralNet,0.2951309770323393,13.600346930524713,20.551035985659567,0.04521251386220415,1.0,0.2853968906856653,59.21328354200159,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,XGBoost,0.2933478300361119,13.518175218084789,21.627296693071717,0.010499795740347241,1.0,0.2791109782084227,59.21328354200159,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,LightGBM,0.29462501017445636,13.57703075791637,21.00971084871777,0.01810965833144657,1.0,0.278077905116806,59.21328354200159,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,DynamicRidge,0.4302483381320427,19.826880674190626,32.50537840685279,0.19533439884274248,1.0,0.39464200273536526,59.21328354200159,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.21328354200159,826
baseline_weighted_4321,baseline,,365.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.21328354200159,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,NeuralNet,0.29402821082082714,13.549528804922865,21.112096141540306,0.034881795380945955,1.0,0.28627226749854007,57.45955541600051,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,XGBoost,0.2992152190778788,13.78855865037236,21.96457743935072,0.005762179446653134,1.0,0.28228646354168363,57.45955541600051,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,LightGBM,0.28655858476887747,13.205310428494457,21.06311432158534,0.004189457685594547,1.0,0.2706947027449288,57.45955541600051,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,DynamicRidge,0.42982610651270403,19.807423223245333,32.55263247013564,0.18678256059844775,1.0,0.3944027406819979,57.45955541600051,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.45955541600051,826
baseline_weighted_8421,baseline,,365.0,weighted_8421,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.45955541600051,826
trend_off,trend,,365.0,weighted_4321,False,NeuralNet,0.2951309770323393,13.600346930524713,20.551035985659567,0.04521251386220415,1.0,0.2853968906856653,59.21328354200159,826
trend_off,trend,,365.0,weighted_4321,False,XGBoost,0.2933478300361119,13.518175218084789,21.627296693071717,0.010499795740347241,1.0,0.2791109782084227,59.21328354200159,826
trend_off,trend,,365.0,weighted_4321,False,LightGBM,0.29462501017445636,13.57703075791637,21.00971084871777,0.01810965833144657,1.0,0.278077905116806,59.21328354200159,826
trend_off,trend,,365.0,weighted_4321,False,DynamicRidge,0.4302483381320427,19.826880674190626,32.50537840685279,0.19533439884274248,1.0,0.39464200273536526,59.21328354200159,826
trend_off,trend,,365.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.21328354200159,826
trend_off,trend,,365.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.21328354200159,826
trend_on,trend,,365.0,weighted_4321,True,NeuralNet,0.28125287976803803,12.96081075093425,19.517672160621057,0.007497783930546307,1.0,0.2976287135888201,62.1907575840014,826
trend_on,trend,,365.0,weighted_4321,True,XGBoost,0.3032406785539675,13.974061527705281,21.713834558078588,0.04611385319097074,1.0,0.28605309989736716,62.1907575840014,826
trend_on,trend,,365.0,weighted_4321,True,LightGBM,0.292866059051533,13.495974049650288,20.393059507078352,0.046495347266106206,1.0,0.27542915882450614,62.1907575840014,826
trend_on,trend,,365.0,weighted_4321,True,DynamicRidge,0.38825146936772104,17.891563714466997,26.5976486499359,0.1407511403201722,1.0,0.379096889934441,62.1907575840014,826
trend_on,trend,,365.0,weighted_4321,True,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,62.1907575840014,826
trend_on,trend,,365.0,weighted_4321,True,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,62.1907575840014,826
