origin_type,strategy,ProductId,model,n,actual_total,prediction_total,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
development,direct,28,Ensemble,70,2872.0,3048.0664274766264,9.963680229534894,14.209530448729998,44.58916850651576,0.24284735935495913,0.34114897150039747,0.43063104757961645,2.5152346782375217,0.06130446639158305
development,direct,28,XGBoost,70,2872.0,2928.8106042146683,12.18861574615751,17.698083312774322,45.72717177077739,0.2970762890776552,0.3678680807369411,0.43521931864828567,0.8115800602095468,0.01978085104967558
development,direct,28,LightGBM,70,2872.0,2944.287542104721,9.242979540143693,13.41066087017447,44.885668235292925,0.2252815347528059,0.3466207465814285,0.4318886303866475,1.0326791729245868,0.025169757000251067
development,direct,28,DynamicRidge,70,2872.0,3288.8402710855007,15.092563420959882,20.664026213473363,64.14409219425228,0.367854958031752,0.48351044386835723,0.5942126625157232,5.954861015507153,0.14513937015511863
development,direct,28,SeasonalNaive,70,2872.0,4143.666666666666,30.623809523809527,41.11866297004858,178.74977399237486,0.746402042711235,0.7370463863051308,1.0002645558390761,18.166666666666668,0.4427808727948004
development,direct,28,MovingAvg28,70,2872.0,3565.4722222222217,22.27318594104308,30.04364788468096,147.53503641100457,0.5428701308750055,0.6172984379210841,0.9139324345331608,9.906746031746035,0.24145968740328083
development,direct,29,NeuralNet,56,2880.0,2803.240695942817,12.417494119480642,16.08560671763114,63.830108158764155,0.24145127454545695,0.4070403551657957,0.7234709817555307,-1.370701858163977,-0.026652536130966218
development,direct,29,Ensemble,56,2880.0,2902.9047701344653,10.563778757879863,13.504079378746688,46.701307399568954,0.20540680918099735,0.3710879744066492,0.6251973373738463,0.40901375240116195,0.007953045185578149
development,direct,29,XGBoost,56,2880.0,2957.4599454402924,10.924989244767598,15.309881539076134,42.7857271311317,0.21243034642603661,0.36933533908973165,0.5857067153416473,1.3832133114337921,0.026895814388990403
development,direct,29,LightGBM,56,2880.0,2959.9311108589172,12.393130540847778,15.891569632876791,39.64535369810537,0.24097753829426236,0.39033356908138117,0.5856625811116871,1.4273412653378077,0.02775385793712404
development,direct,29,DynamicRidge,56,2880.0,2597.5708045959473,17.586017063685826,28.730169020772838,226.24328471618531,0.34195033179389106,0.42199852443289726,0.9601842003594291,-5.043378489358084,-0.09806569284862943
development,direct,29,SeasonalNaive,56,2880.0,4257.666666666667,30.386904761904763,44.03558715979539,189.05086534105064,0.5908564814814815,0.5271870331987437,0.9422487373419365,24.601190476190478,0.4783564814814815
development,direct,29,MovingAvg28,56,2880.0,4139.064814814815,31.77029006046863,41.14009542031868,391.2973837054724,0.6177556400646678,0.574035621179583,1.1824846564395535,22.483300264550262,0.4371752829218107
development,direct,30,NeuralNet,55,2166.0,2285.409154359587,12.50668738944732,15.839511781407714,241.16261358069727,0.3175751645519864,0.43700574738738385,0.9494531379065368,2.1710755338106695,0.055128880129079794
development,direct,30,Ensemble,55,2166.0,2255.778064106973,11.202609640801672,13.86989207849162,217.59887987485405,0.28446146363993163,0.40441335608037776,0.8976552737103608,1.6323284383085928,0.04144878305954414
development,direct,30,XGBoost,55,2166.0,2262.009115219116,12.443104726617987,16.362498720530137,226.47952706564604,0.31596064633609844,0.42810911981673616,0.9155471817621509,1.745620276711204,0.04432553795896409
development,direct,30,LightGBM,55,2166.0,2224.4320249557495,11.525574441389605,14.571839155871286,196.39449118189341,0.2926623242273445,0.4161589225671117,0.873195979344985,1.0624004537409002,0.02697692749572923
development,direct,30,DynamicRidge,55,2166.0,1895.086646080017,14.935009297457608,19.025859754346033,248.2736655393922,0.379236154829256,0.5027715621698581,0.9729592057676423,-4.92569734399969,-0.1250754173222451
development,direct,30,SeasonalNaive,55,2166.0,3144.25,23.96818181818182,30.175716456057238,301.71527368755625,0.6086103416435826,0.6287051605908103,1.1940741576599447,17.786363636363635,0.4516389658356417
development,direct,30,MovingAvg28,55,2166.0,2630.6687016687024,24.404125504125513,28.690617367938216,360.6064741695904,0.6196800104925685,0.6317769945065743,1.1586613809503752,8.448521848521851,0.2145284864583111
recent_benchmark,direct,1,NeuralNet,28,1269.0,1145.4710061029123,10.120941074952928,18.0450005294141,38.8187774604202,0.2233146966892687,0.3014022988437851,0.3790604829549449,-4.411749782038846,-0.09734357281094379
recent_benchmark,direct,1,Ensemble,28,1269.0,1186.6522959426231,11.65029032606623,20.297574008026455,36.38672838866858,0.2570592034120208,0.3020797283060914,0.34833505772521917,-2.9409894306205944,-0.0648918077678303
recent_benchmark,direct,1,XGBoost,28,1269.0,1076.7900943756104,13.870028632027763,25.76543538988694,35.85559470467549,0.3060368807697221,0.32368918320762363,0.35847794528945426,-6.864639486585345,-0.1514656466701258
recent_benchmark,direct,1,LightGBM,28,1269.0,1295.0902824401855,13.807891300746373,22.14441211481377,39.47828935392389,0.30466584430330845,0.32297992455098784,0.3621154908903918,0.9317958014351981,0.02055971823497679
recent_benchmark,direct,1,DynamicRidge,28,1269.0,1482.2279977798462,12.782051801681519,16.836533544293005,81.93480294293396,0.28203108782276004,0.5104110658619045,0.6274123010891005,7.615285634994507,0.16802836704479604
recent_benchmark,direct,1,SeasonalNaive,28,1269.0,2174.0,54.892857142857146,81.83192705609642,282.10194421605047,1.211189913317573,0.7610818836619392,1.157293697617299,32.32142857142857,0.7131599684791174
recent_benchmark,direct,1,MovingAvg28,28,1269.0,2966.5,80.625,84.70025555342986,600.8970949472297,1.7789598108747045,1.2605926520337913,1.7882198450810893,60.625,1.3376674546887313
recent_benchmark,direct,2,NeuralNet,28,1227.0,1351.7101270890678,9.790804872859232,14.987392652564013,31.62472196695377,0.2234250500733973,0.24908029311799026,0.31845400694033826,4.453933110323844,0.1016382453863632
recent_benchmark,direct,2,Ensemble,28,1227.0,1308.838133449666,9.219374940606034,14.98552703363133,26.71200964711426,0.21038508421920862,0.2192983163784932,0.295792217190811,2.9227904803452023,0.06669774527275116
