model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
SeasonalNaive,realized,common,global,12,346,346,343,343,0.9913294797687862,24.838678328474252,40.03919767150894,153.78264322532846,0.5531532701380774,0.5306318701484747,0.7596644478528272,5.789115646258503,0.1289226507379994,343.0,direct,1,development
SeasonalNaive,realized,common,mean_fold,12,346,346,343,343,0.9913294797687862,24.601861785156803,33.79858454907092,149.83417602033248,0.6238826445863755,0.5301701502100212,0.7092903608488074,5.382202355612318,0.2681843184872154,28.583333333333332,direct,1,development
MovingAvg28,realized,common,global,12,346,346,343,343,0.9913294797687862,21.2068880610711,34.34692854024558,102.62432421840823,0.4722738998147895,0.470612081896916,0.6502147320336703,2.188248149225458,0.048731925411266856,343.0,direct,1,development
MovingAvg28,realized,common,mean_fold,12,346,346,343,343,0.9913294797687862,21.04100019606537,27.0367571043522,100.36336884697738,0.507582546197804,0.4705479493350249,0.6088003362940514,1.79731161487096,0.19708998415944903,28.583333333333332,direct,1,development
NeuralNet,realized,model_specific,global,12,346,346,346,346,1.0,10.774924156956653,16.642202798004774,52.83773742367776,0.24205452267932745,0.3080406800195985,0.44613704266601717,3.270430846310894,0.07346896979766064,346.0,direct,1,development
NeuralNet,realized,model_specific,mean_fold,12,346,346,346,346,1.0,10.724232353408945,14.498919038966728,52.97219885763682,0.2508328676233549,0.3102601599438261,0.4256500914875645,3.261269738230499,0.06727292871028971,28.833333333333332,direct,1,development
Ensemble,realized,model_specific,global,12,346,346,346,346,1.0,10.437035584640492,15.56768394881916,46.10032062535719,0.23446398599439103,0.302406706160083,0.4198100731114094,1.5663734984389397,0.03518797756524303,346.0,direct,1,development
Ensemble,realized,model_specific,mean_fold,12,346,346,346,346,1.0,10.347292240855362,13.658630887300843,46.22700528917537,0.2432744754029292,0.30358640392581593,0.40081809063842005,1.5667319222451048,0.030643482779584313,28.833333333333332,direct,1,development
XGBoost,realized,model_specific,global,12,346,346,346,346,1.0,12.405919598878464,20.32731636375281,43.50567798397053,0.27869420732449995,0.3280175293507311,0.4098902400597531,0.10507201063150616,0.002360402264543639,346.0,direct,1,development
XGBoost,realized,model_specific,mean_fold,12,346,346,346,346,1.0,12.27046238016919,16.9079297288274,43.447942962963886,0.27919146626628377,0.328733806516357,0.39813884865051885,0.08342048828050141,0.0057906942275108625,28.833333333333332,direct,1,development
LightGBM,realized,model_specific,global,12,346,346,346,346,1.0,11.131693604020025,17.457336257195017,44.97526408434371,0.25006921094604134,0.31124203597747824,0.43243384868533224,0.9301292079721573,0.020894994543459708,346.0,direct,1,development
LightGBM,realized,model_specific,mean_fold,12,346,346,346,346,1.0,11.055786638126328,15.091301839366048,45.24170703580251,0.25435421706578515,0.31198125206779426,0.4144623703600883,0.9533838318256391,0.012762961248723862,28.833333333333332,direct,1,development
DynamicRidge,realized,model_specific,global,12,346,346,346,346,1.0,28.801941389465608,138.00805793491642,761.3978993926978,0.6470245241368069,0.39129609656255754,0.7313056630043296,13.760779948765142,0.3091306234432372,346.0,direct,1,development
DynamicRidge,realized,model_specific,mean_fold,12,346,346,346,346,1.0,28.687179460451347,76.67591501332726,782.3236194681268,0.5943637597534727,0.392890164378481,0.6412616401578749,13.70887268039867,0.2830520026331941,28.833333333333332,direct,1,development
SeasonalNaive,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,24.838678328474252,40.03919767150894,153.78264322532846,0.5531532701380774,0.5306318701484747,0.7596644478528272,5.789115646258503,0.1289226507379994,343.0,direct,1,development
SeasonalNaive,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,24.601861785156803,33.79858454907092,149.83417602033248,0.6238826445863755,0.5301701502100212,0.7092903608488074,5.382202355612318,0.2681843184872154,28.583333333333332,direct,1,development
MovingAvg28,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,21.2068880610711,34.34692854024558,102.62432421840823,0.4722738998147895,0.470612081896916,0.6502147320336703,2.188248149225458,0.048731925411266856,343.0,direct,1,development
