origin_type,strategy,origin,validation_stratum,ProductId,DateKey,horizon,actual,model,prediction,absolute_error,signed_error
development,direct,2022-11-20,holiday_event,25,2022-11-26,6,128.0,XGBoost,68.7066650390625,59.2933349609375,-59.2933349609375
development,direct,2024-11-29,holiday_event,3,2024-12-04,5,172.0,XGBoost,112.93922424316406,59.06077575683594,-59.06077575683594
development,direct,2024-12-20,holiday_event,11,2024-12-23,3,29.0,XGBoost,86.93487548828125,57.93487548828125,57.93487548828125
development,direct,2022-11-20,holiday_event,27,2022-11-22,2,58.0,XGBoost,0.1801912635564804,57.81980873644352,-57.81980873644352
development,direct,2023-11-24,holiday_event,25,2023-11-25,1,68.0,XGBoost,125.73209381103516,57.732093811035156,57.732093811035156
development,direct,2023-12-18,holiday_event,11,2023-12-19,1,135.0,XGBoost,77.4677734375,57.5322265625,-57.5322265625
development,direct,2022-11-20,holiday_event,13,2022-11-22,2,125.0,XGBoost,67.92457580566406,57.07542419433594,-57.07542419433594
development,direct,2022-11-20,holiday_event,27,2022-11-24,4,57.0,XGBoost,0.0,57.0,-57.0
development,direct,2023-11-24,holiday_event,5,2023-11-27,3,98.0,XGBoost,154.4100341796875,56.4100341796875,56.4100341796875
development,direct,2022-11-20,holiday_event,15,2022-11-25,5,92.0,XGBoost,35.84236145019531,56.15763854980469,-56.15763854980469
development,direct,2023-12-18,holiday_event,26,2023-12-19,1,119.0,XGBoost,63.27372360229492,55.72627639770508,-55.72627639770508
development,direct,2022-11-20,holiday_event,3,2022-11-24,4,162.0,XGBoost,217.14688110351562,55.146881103515625,55.146881103515625
development,direct,2024-11-29,holiday_event,27,2024-11-30,1,118.0,XGBoost,63.204288482666016,54.795711517333984,-54.795711517333984
development,direct,2023-12-18,holiday_event,5,2023-12-19,1,179.0,XGBoost,124.54288482666016,54.457115173339844,-54.457115173339844
development,direct,2024-11-29,holiday_event,4,2024-12-04,5,125.0,XGBoost,70.62622833251953,54.37377166748047,-54.37377166748047
development,direct,2024-02-14,winter_test_like,8,2024-02-20,6,115.0,XGBoost,60.74407196044922,54.25592803955078,-54.25592803955078
development,direct,2022-11-20,holiday_event,9,2022-11-21,1,56.0,XGBoost,110.1836166381836,54.183616638183594,54.183616638183594
development,direct,2024-11-29,holiday_event,14,2024-12-01,2,103.0,XGBoost,49.30929946899414,53.69070053100586,-53.69070053100586
development,direct,2024-11-29,holiday_event,1,2024-12-02,3,153.0,XGBoost,100.33793640136719,52.66206359863281,-52.66206359863281
development,direct,2024-11-29,holiday_event,10,2024-12-01,2,103.0,XGBoost,50.441734313964844,52.558265686035156,-52.558265686035156
development,direct,2023-11-24,holiday_event,5,2023-11-26,2,445.0,XGBoost,392.5538635253906,52.446136474609375,-52.446136474609375
development,direct,2023-11-24,holiday_event,22,2023-11-26,2,190.0,XGBoost,137.75631713867188,52.243682861328125,-52.243682861328125
development,direct,2023-11-24,holiday_event,2,2023-11-25,1,131.0,XGBoost,183.01702880859375,52.01702880859375,52.01702880859375
development,direct,2024-11-29,holiday_event,5,2024-12-06,7,76.0,XGBoost,127.23348236083984,51.233482360839844,51.233482360839844
development,direct,2024-12-20,holiday_event,11,2024-12-22,2,39.0,XGBoost,90.20401763916016,51.204017639160156,51.204017639160156
